API,latitude,longitude,Operator,County,Municipality,Marcellus,Insp Id,Viol Id,Enf Id,Date Inspected,Date Violation,Violation Code,Violation Desc,Envl Health Safety Desc,Insp Comment,Violation Comment,Date Resolved
005-29418,40.66288669,-79.58415932,US ENERGY EXPLORATION CORP,Armstrong,Gilpin,N,1676897,530637,234740,1/9/2008,1/9/2008,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,PICTURES / WATER SAMPLES TAKEN,,1/18/2008
005-29418,40.66288669,-79.58415932,US ENERGY EXPLORATION CORP,Armstrong,Gilpin,N,1676897,530638,229506,1/9/2008,1/9/2008,78.61A,Improper pit disposal of drill cuttings from above the casing seat,Administrative,PICTURES / WATER SAMPLES TAKEN,,1/10/2008
005-29436,40.77005499,-79.57086404,KRIEBEL MINERALS INC,Armstrong,North Buffalo,N,1688822,533879,231149,7/30/2007,7/30/2007,509,"Failure to comply w/ order, CO&A, hindrance to personnel, misrepresentation under OGA",Administrative,,faied to notify about permit,9/1/2007
005-29436,40.77005499,-79.57086404,KRIEBEL MINERALS INC,Armstrong,North Buffalo,N,1688822,533878,231149,7/30/2007,7/30/2007,201F,"Failure to notify DEP, landowner, political subdivision, or coal owner 24 hrs prior to commencement of drilling",Administrative,,Failed to notify water supply omners about permit,9/1/2007
005-29437,40.76730502,-79.57090015,KRIEBEL MINERALS INC,Armstrong,North Buffalo,N,1688818,533875,231149,7/30/2007,7/30/2007,509,"Failure to comply w/ order, CO&A, hindrance to personnel, misrepresentation under OGA",Administrative,,APPLICATION INCOMPLETE,9/1/2007
005-29437,40.76730502,-79.57090015,KRIEBEL MINERALS INC,Armstrong,North Buffalo,N,1688818,533874,231149,7/30/2007,7/30/2007,201F,"Failure to notify DEP, landowner, political subdivision, or coal owner 24 hrs prior to commencement of drilling",Administrative,,FAILURE TO NOTIFY wATER sUPPLY OWNERS ON APPLICATION,9/1/2007
005-29438,40.77256884,-79.56758614,KRIEBEL MINERALS INC,Armstrong,North Buffalo,N,1688825,533880,231149,7/30/2007,7/30/2007,201F,"Failure to notify DEP, landowner, political subdivision, or coal owner 24 hrs prior to commencement of drilling",Administrative,,Faied to notify water supply owners about permit,9/1/2007
005-29438,40.77256884,-79.56758614,KRIEBEL MINERALS INC,Armstrong,North Buffalo,N,1688825,533881,231149,7/30/2007,7/30/2007,509,"Failure to comply w/ order, CO&A, hindrance to personnel, misrepresentation under OGA",Administrative,,failed to notify about permit,9/1/2007
005-29439,40.77139112,-79.58693955,KRIEBEL MINERALS INC,Armstrong,North Buffalo,N,1688819,533877,231149,7/30/2007,7/30/2007,509,"Failure to comply w/ order, CO&A, hindrance to personnel, misrepresentation under OGA",Administrative,,APPLICATION INCOMPLETE,9/1/2007
005-29439,40.77139112,-79.58693955,KRIEBEL MINERALS INC,Armstrong,North Buffalo,N,1688819,533876,231149,7/30/2007,7/30/2007,201F,"Failure to notify DEP, landowner, political subdivision, or coal owner 24 hrs prior to commencement of drilling",Administrative,,failed to notify water supply owners abourt permit,9/1/2007
005-29440,40.77229944,-79.58702567,KRIEBEL MINERALS INC,Armstrong,North Buffalo,N,1688811,533871,231149,7/30/2007,7/30/2007,509,"Failure to comply w/ order, CO&A, hindrance to personnel, misrepresentation under OGA",Administrative,,,9/1/2007
005-29440,40.77229944,-79.58702567,KRIEBEL MINERALS INC,Armstrong,North Buffalo,N,1644131,521250,224308,8/14/2007,8/14/2007,102.4NOPLAN,"No E&S plan developed, plan not on site",Administrative,"Well spudded 8/10/07,Pit ok,E&S ok ,E&S plan not on site resulting in NOV",,8/27/2007
005-29440,40.77229944,-79.58702567,KRIEBEL MINERALS INC,Armstrong,North Buffalo,N,1646175,521787,224619,8/22/2007,8/22/2007,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,,,9/7/2007
005-29440,40.77229944,-79.58702567,KRIEBEL MINERALS INC,Armstrong,North Buffalo,N,1688811,533869,231149,7/30/2007,7/30/2007,201F,"Failure to notify DEP, landowner, political subdivision, or coal owner 24 hrs prior to commencement of drilling",Administrative,,FAILURE TO NOTIFY WATER SUPPLY OWNERS ON APPLICATION.,9/1/2007
005-29442,40.77449106,-79.57802259,KRIEBEL MINERALS INC,Armstrong,North Buffalo,N,1688816,533873,231149,7/30/2007,7/30/2007,509,"Failure to comply w/ order, CO&A, hindrance to personnel, misrepresentation under OGA",Administrative,,APPLICATION NOT CORRECT.,9/1/2007
005-29442,40.77449106,-79.57802259,KRIEBEL MINERALS INC,Armstrong,North Buffalo,N,1688816,533872,231149,7/30/2007,7/30/2007,201F,"Failure to notify DEP, landowner, political subdivision, or coal owner 24 hrs prior to commencement of drilling",Administrative,,FAILURE TO NOTIFY WATER SUPPLY OWNERS ON APPLICATION.,9/1/2007
005-29443,40.77340221,-79.58842293,MDS ENERGY LTD,Armstrong,North Buffalo,N,1691477,534649,,2/1/2008,2/1/2008,201F,"Failure to notify DEP, landowner, political subdivision, or coal owner 24 hrs prior to commencement of drilling",Administrative,,Failure to notify water supply owner.,2/1/2008
005-29444,40.77507996,-79.5854006,MDS ENERGY LTD,Armstrong,North Buffalo,N,1679342,531304,231602,1/22/2008,1/22/2008,201F,"Failure to notify DEP, landowner, political subdivision, or coal owner 24 hrs prior to commencement of drilling",Administrative,Operator has agreed to follow proper spud notification procedure in the future.,,1/23/2008
005-29444,40.77507996,-79.5854006,MDS ENERGY LTD,Armstrong,North Buffalo,N,1679342,531304,229765,1/22/2008,1/22/2008,201F,"Failure to notify DEP, landowner, political subdivision, or coal owner 24 hrs prior to commencement of drilling",Administrative,Operator has agreed to follow proper spud notification procedure in the future.,,1/23/2008
005-29444,40.77507996,-79.5854006,MDS ENERGY LTD,Armstrong,North Buffalo,N,1679342,531304,236410,1/22/2008,1/22/2008,201F,"Failure to notify DEP, landowner, political subdivision, or coal owner 24 hrs prior to commencement of drilling",Administrative,Operator has agreed to follow proper spud notification procedure in the future.,,1/23/2008
005-29526,40.64651742,-79.5837927,US ENERGY EXPLORATION CORP,Armstrong,Gilpin,N,1805178,564871,246987,6/4/2009,6/4/2009,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,Drilling appeared to have been completed at the time of the inspection.  Brine tank located onsite and appeared to be in sound condition.  Observed accelerated erosion & sedimentation leaving the well-site due to improper erosion control implementation.,,8/12/2009
005-29526,40.64651742,-79.5837927,US ENERGY EXPLORATION CORP,Armstrong,Gilpin,N,1805178,564871,257620,6/4/2009,6/4/2009,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,Drilling appeared to have been completed at the time of the inspection.  Brine tank located onsite and appeared to be in sound condition.  Observed accelerated erosion & sedimentation leaving the well-site due to improper erosion control implementation.,,8/12/2009
005-29579,40.66152005,-79.58880947,US ENERGY EXPLORATION CORP,Armstrong,Gilpin,N,1715858,542007,237884,6/20/2008,6/20/2008,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,,,7/31/2008
005-29579,40.66152005,-79.58880947,US ENERGY EXPLORATION CORP,Armstrong,Gilpin,N,1715858,542007,235257,6/20/2008,6/20/2008,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,,,7/31/2008
005-29579,40.66152005,-79.58880947,US ENERGY EXPLORATION CORP,Armstrong,Gilpin,N,1715858,542008,235257,6/20/2008,6/20/2008,102.4INADPLN,E&S Plan not adequate,Administrative,,,7/31/2008
005-29579,40.66152005,-79.58880947,US ENERGY EXPLORATION CORP,Armstrong,Gilpin,N,1715858,542008,237884,6/20/2008,6/20/2008,102.4INADPLN,E&S Plan not adequate,Administrative,,,7/31/2008
005-29579,40.66152005,-79.58880947,US ENERGY EXPLORATION CORP,Armstrong,Gilpin,N,1725849,544862,,7/28/2008,7/28/2008,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,CEI - work completed inadequate - E&S issues on well site,,7/31/2009
005-29680,40.64862294,-79.57712858,US ENERGY EXPLORATION CORP,Armstrong,Gilpin,N,1805130,564857,257620,6/4/2009,6/4/2009,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,Drilling appeared to have been completed at the time of the inspection.  Well did not appear to be equipped for & in production at the time of the inspection.  Well-site had not been reclaimed at the time of the inspection and no accelerated erosion & sed,,8/12/2009
005-29680,40.64862294,-79.57712858,US ENERGY EXPLORATION CORP,Armstrong,Gilpin,N,1805130,564857,246983,6/4/2009,6/4/2009,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,Drilling appeared to have been completed at the time of the inspection.  Well did not appear to be equipped for & in production at the time of the inspection.  Well-site had not been reclaimed at the time of the inspection and no accelerated erosion & sed,,8/12/2009
005-29687,40.84497312,-79.32564458,BITTINGER DRILLING L A BITTINGER DBA,Armstrong,Wayne,N,1757930,553143,241397,12/11/2008,12/11/2008,201TAG,"Failure to install, in a permanent manner, the permit number on a completed well",Administrative,"Well was spudded on 03/12/08.  Well appeared to be equipped for and in production at the time of the inspection.  Brine tank was located onsite and appeared to be in sound condition.  1) Noted that the site had been regraded, however it had not been veget",,5/27/2009
005-29687,40.84497312,-79.32564458,BITTINGER DRILLING L A BITTINGER DBA,Armstrong,Wayne,N,1757930,553142,241397,12/11/2008,12/11/2008,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,"Well was spudded on 03/12/08.  Well appeared to be equipped for and in production at the time of the inspection.  Brine tank was located onsite and appeared to be in sound condition.  1) Noted that the site had been regraded, however it had not been veget",,5/27/2009
005-29687,40.84497312,-79.32564458,BITTINGER DRILLING L A BITTINGER DBA,Armstrong,Wayne,N,1757930,553142,243986,12/11/2008,12/11/2008,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,"Well was spudded on 03/12/08.  Well appeared to be equipped for and in production at the time of the inspection.  Brine tank was located onsite and appeared to be in sound condition.  1) Noted that the site had been regraded, however it had not been veget",,5/27/2009
005-29687,40.84497312,-79.32564458,BITTINGER DRILLING L A BITTINGER DBA,Armstrong,Wayne,N,1757930,553142,256337,12/11/2008,12/11/2008,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,"Well was spudded on 03/12/08.  Well appeared to be equipped for and in production at the time of the inspection.  Brine tank was located onsite and appeared to be in sound condition.  1) Noted that the site had been regraded, however it had not been veget",,5/27/2009
005-29687,40.84497312,-79.32564458,BITTINGER DRILLING L A BITTINGER DBA,Armstrong,Wayne,N,1776695,558593,243986,3/17/2009,3/17/2009,206REST,Failure to restore site w/in 9 months of completion of drilling or plugging,Environmental Health & Safety,,,5/27/2009
005-29687,40.84497312,-79.32564458,BITTINGER DRILLING L A BITTINGER DBA,Armstrong,Wayne,N,1776695,558592,243986,3/17/2009,3/17/2009,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,,,5/27/2009
005-29687,40.84497312,-79.32564458,BITTINGER DRILLING L A BITTINGER DBA,Armstrong,Wayne,N,1757930,553143,256337,12/11/2008,12/11/2008,201TAG,"Failure to install, in a permanent manner, the permit number on a completed well",Administrative,"Well was spudded on 03/12/08.  Well appeared to be equipped for and in production at the time of the inspection.  Brine tank was located onsite and appeared to be in sound condition.  1) Noted that the site had been regraded, however it had not been veget",,5/27/2009
005-29701,40.65254515,-79.58919285,US ENERGY EXPLORATION CORP,Armstrong,Gilpin,N,1892391,589813,259366,6/8/2010,6/8/2010,201F,"Failure to notify DEP, landowner, political subdivision, or coal owner 24 hrs prior to commencement of drilling",Administrative,Drilling was completed on 04/14/09.  Well was equipped for production.  Brine tank located onsite and appeared to be in sound condition.  Observed no accelerated erosion & sedimentation in relation to the access road or well-site.  Vegetative cover met th,,7/7/2010
005-29701,40.65254515,-79.58919285,US ENERGY EXPLORATION CORP,Armstrong,Gilpin,N,1892391,589813,262207,6/8/2010,6/8/2010,201F,"Failure to notify DEP, landowner, political subdivision, or coal owner 24 hrs prior to commencement of drilling",Administrative,Drilling was completed on 04/14/09.  Well was equipped for production.  Brine tank located onsite and appeared to be in sound condition.  Observed no accelerated erosion & sedimentation in relation to the access road or well-site.  Vegetative cover met th,,7/7/2010
005-29709,40.89684554,-79.66207211,DANNIC ENERGY CORP,Armstrong,Sugarcreek,N,1687138,533539,235613,2/22/2008,2/22/2008,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,,,4/21/2008
005-29709,40.89684554,-79.66207211,DANNIC ENERGY CORP,Armstrong,Sugarcreek,N,1687138,533540,235613,2/22/2008,2/22/2008,102.4INADPLN,E&S Plan not adequate,Administrative,,,4/21/2008
005-29709,40.89684554,-79.66207211,DANNIC ENERGY CORP,Armstrong,Sugarcreek,N,1687138,533537,235613,2/22/2008,2/22/2008,102.4NOPLAN,"No E&S plan developed, plan not on site",Administrative,,,4/21/2008
005-29709,40.89684554,-79.66207211,DANNIC ENERGY CORP,Armstrong,Sugarcreek,N,1687138,533538,230947,2/22/2008,2/22/2008,205B,Drilling w/in 100 ft of surface water or wetland w/o variance,Administrative,,,4/21/2008
005-29709,40.89684554,-79.66207211,DANNIC ENERGY CORP,Armstrong,Sugarcreek,N,1687138,533538,235613,2/22/2008,2/22/2008,205B,Drilling w/in 100 ft of surface water or wetland w/o variance,Administrative,,,4/21/2008
005-29709,40.89684554,-79.66207211,DANNIC ENERGY CORP,Armstrong,Sugarcreek,N,1687138,533539,230947,2/22/2008,2/22/2008,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,,,4/21/2008
005-29709,40.89684554,-79.66207211,DANNIC ENERGY CORP,Armstrong,Sugarcreek,N,1687138,533537,230947,2/22/2008,2/22/2008,102.4NOPLAN,"No E&S plan developed, plan not on site",Administrative,,,4/21/2008
005-29709,40.89684554,-79.66207211,DANNIC ENERGY CORP,Armstrong,Sugarcreek,N,1687138,533540,230947,2/22/2008,2/22/2008,102.4INADPLN,E&S Plan not adequate,Administrative,,,4/21/2008
005-29722,40.80275242,-79.66139038,BAKER GAS INC,Armstrong,North Buffalo,Y,1879460,585789,257131,4/21/2010,4/21/2010,201TAG,"Failure to install, in a permanent manner, the permit number on a completed well",Administrative,abandon well,,
005-29722,40.80275242,-79.66139038,BAKER GAS INC,Armstrong,North Buffalo,Y,1879460,585773,,4/21/2010,4/21/2010,210UNPLUG,Failure to plug a well upon abandonment,Administrative,abandon well,,
005-29741,40.59771197,-79.39527004,CNX GAS CO LLC,Armstrong,South Bend,N,1716079,542092,235311,6/24/2008,6/24/2008,401CSL,Discharge of pollultional material to waters of Commonwealth.,Environmental Health & Safety,,,8/1/2008
005-29741,40.59771197,-79.39527004,CNX GAS CO LLC,Armstrong,South Bend,N,1716079,542092,242057,6/24/2008,6/24/2008,401CSL,Discharge of pollultional material to waters of Commonwealth.,Environmental Health & Safety,,,8/1/2008
005-29776,40.68995836,-79.45720505,C & D GAS CO,Armstrong,Burrell,N,1785089,561157,245149,4/16/2009,4/16/2009,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,,,5/28/2009
005-29776,40.68995836,-79.45720505,C & D GAS CO,Armstrong,Burrell,N,1776426,558524,245149,3/17/2009,3/17/2009,205B,Drilling w/in 100 ft of surface water or wetland w/o variance,Administrative,No stream waiver for site.,,4/16/2009
005-29776,40.68995836,-79.45720505,C & D GAS CO,Armstrong,Burrell,N,1776426,558524,243951,3/17/2009,3/17/2009,205B,Drilling w/in 100 ft of surface water or wetland w/o variance,Administrative,No stream waiver for site.,,4/16/2009
005-29776,40.68995836,-79.45720505,C & D GAS CO,Armstrong,Burrell,N,1785089,561155,245149,4/16/2009,4/16/2009,205B,Drilling w/in 100 ft of surface water or wetland w/o variance,Administrative,,,5/28/2009
005-29776,40.68995836,-79.45720505,C & D GAS CO,Armstrong,Burrell,N,1785089,561156,245149,4/16/2009,4/16/2009,102.4INADPLN,E&S Plan not adequate,Administrative,,,5/28/2009
005-29801,40.90449547,-79.66464994,DANNIC ENERGY CORP,Armstrong,Sugarcreek,N,1697581,536373,235613,3/11/2008,3/11/2008,205B,Drilling w/in 100 ft of surface water or wetland w/o variance,Administrative,,,3/28/2008
005-29801,40.90449547,-79.66464994,DANNIC ENERGY CORP,Armstrong,Sugarcreek,N,1697581,536373,232479,3/11/2008,3/11/2008,205B,Drilling w/in 100 ft of surface water or wetland w/o variance,Administrative,,,3/28/2008
005-29810,40.75442964,-79.34073431,CONSOL GAS CO,Armstrong,Plumcreek,N,1751147,551440,240475,11/19/2008,11/19/2008,78.83COALCSG,Improper coal protective casing and cementing procedures,Administrative,,,12/2/2008
005-29810,40.75442964,-79.34073431,CONSOL GAS CO,Armstrong,Plumcreek,N,1751147,551440,241401,11/19/2008,11/19/2008,78.83COALCSG,Improper coal protective casing and cementing procedures,Administrative,,,12/2/2008
005-29828,40.89695101,-79.62099299,DMJ GAS & OIL INC,Armstrong,Sugarcreek,N,1815040,567642,248270,7/17/2009,7/17/2009,206REST,Failure to restore site w/in 9 months of completion of drilling or plugging,Environmental Health & Safety,"Well appears to be in production.  Brine Tank is in good condition.  The following deficiency was noted:

1- The vegetation is sparse and does not reach the 70% vegetative cover criteria.   Due to the proximity of the well to a Special Protection Watershe",vegetative cover is at ~30%.  Therefore does not meet the 70% coverage criteria.,9/4/2009
005-29867,40.87167586,-79.43822317,SNYDER BROS INC,Armstrong,Boggs,N,1739304,548604,238810,9/25/2008,9/25/2008,401CSL,Discharge of pollultional material to waters of Commonwealth.,Environmental Health & Safety,,,12/31/2008
005-29913,40.84804584,-79.56669693,SNYDER BROS INC,Armstrong,East Franklin,N,1835407,573388,251221,10/14/2009,10/14/2009,102.4NOPLAN,"No E&S plan developed, plan not on site",Administrative,"no e & s plan on site, excavation completed to open hole frac the well.",,10/16/2009
005-29930,40.84338755,-79.56851368,SNYDER BROS INC,Armstrong,East Franklin,N,1834764,573227,251107,10/13/2009,10/13/2009,102.4NOPLAN,"No E&S plan developed, plan not on site",Administrative,no e & s plan on site,,10/16/2009
005-29930,40.84338755,-79.56851368,SNYDER BROS INC,Armstrong,East Franklin,N,1837496,573934,251531,10/16/2009,10/16/2009,78.62,Improper encapsulation of waste,Administrative,"Crews recently pulled off of site.  The Site ID sign and E&S plan are present.  The access road is rocked and silt fence was installed below the site.  However, there is still mud being tracked on to the township road.  

In addition, the following violat",,11/10/2009
005-29946,40.59237898,-79.52102139,C & D GAS CO,Armstrong,Kiskiminetas,N,1823475,570111,249458,8/26/2009,8/26/2009,401CSL,Discharge of pollultional material to waters of Commonwealth.,Environmental Health & Safety,,"Discharge of drill fluids to well from well bore, discharge of drill pit fluidsto the ground due to a pit liner failure, and a discharge of a petroleum product to the ground adjacent to the well pad.",9/8/2009
005-29946,40.59237898,-79.52102139,C & D GAS CO,Armstrong,Kiskiminetas,N,1823475,570111,262298,8/26/2009,8/26/2009,401CSL,Discharge of pollultional material to waters of Commonwealth.,Environmental Health & Safety,,"Discharge of drill fluids to well from well bore, discharge of drill pit fluidsto the ground due to a pit liner failure, and a discharge of a petroleum product to the ground adjacent to the well pad.",9/8/2009
005-29999,40.67370603,-79.58559265,MDS ENERGY LTD,Armstrong,Gilpin,N,1875072,584594,256603,4/6/2010,4/6/2010,78.56FRBRD,Failure to maintain 2' freeboard in an impoundment,Administrative,,,4/7/2010
005-30013,40.85107635,-79.56048005,SNYDER BROS INC,Armstrong,East Franklin,N,1769520,556400,242871,2/13/2009,2/13/2009,78.56FRBRD,Failure to maintain 2' freeboard in an impoundment,Administrative,,,2/19/2009
005-30013,40.85107635,-79.56048005,SNYDER BROS INC,Armstrong,East Franklin,N,1769520,556400,245024,2/13/2009,2/13/2009,78.56FRBRD,Failure to maintain 2' freeboard in an impoundment,Administrative,,,2/19/2009
005-30036,40.85523742,-79.56252733,PATRIOT EXPLORATION CORP,Armstrong,East Franklin,N,1768172,555917,257032,2/9/2009,2/9/2009,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,"Site constructed, drilling had not begun at the time of the inspection.  Found the following deficiencies: 1) The culverts on the access road were not installed properly.  The culvert inlets did not have any BMP's implemented to minimize accelerated erosi",,3/9/2009
005-30036,40.85523742,-79.56252733,PATRIOT EXPLORATION CORP,Armstrong,East Franklin,N,1768172,555917,242670,2/9/2009,2/9/2009,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,"Site constructed, drilling had not begun at the time of the inspection.  Found the following deficiencies: 1) The culverts on the access road were not installed properly.  The culvert inlets did not have any BMP's implemented to minimize accelerated erosi",,3/9/2009
005-30038,40.77312727,-79.61854615,BLX INC,Armstrong,North Buffalo,N,1743783,549661,239340,10/16/2008,10/16/2008,102.4NOPLAN,"No E&S plan developed, plan not on site",Administrative,,,10/29/2008
005-30038,40.77312727,-79.61854615,BLX INC,Armstrong,North Buffalo,N,1743783,549662,239340,10/16/2008,10/16/2008,201E,Failure to comply with terms and conditions of permit,Environmental Health & Safety,,,10/29/2008
005-30038,40.77312727,-79.61854615,BLX INC,Armstrong,North Buffalo,N,1743783,549660,239340,10/16/2008,10/16/2008,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,,,10/29/2008
005-30048,40.86787907,-79.61435398,EXOTIC OIL & GAS LLC,Armstrong,West Franklin,N,1758236,553264,257154,12/19/2008,12/19/2008,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,Well was spudded on 12/10/08.  Drilling appeared to have been completed at the time of the inspection.  The following items were noted during the site inspection: 1) The below grade pit located onsite had more than the two feet of required freeboard and t,,5/27/2009
005-30048,40.86787907,-79.61435398,EXOTIC OIL & GAS LLC,Armstrong,West Franklin,N,1758236,553264,241488,12/19/2008,12/19/2008,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,Well was spudded on 12/10/08.  Drilling appeared to have been completed at the time of the inspection.  The following items were noted during the site inspection: 1) The below grade pit located onsite had more than the two feet of required freeboard and t,,5/27/2009
005-30053,40.87628972,-79.44423447,SNYDER BROS INC,Armstrong,Boggs,N,1840714,574920,262120,11/3/2009,11/3/2009,206REST,Failure to restore site w/in 9 months of completion of drilling or plugging,Environmental Health & Safety,"Drilling was completed on 02/03/09.  Well appeared to be equipped for production.  Observed no accelerated erosion & sedimentation with respect to the access road or well-site.  Noted that the site had been regraded, however it had not been seeded or mulc",,4/23/2010
005-30053,40.87628972,-79.44423447,SNYDER BROS INC,Armstrong,Boggs,N,1840714,574920,252047,11/3/2009,11/3/2009,206REST,Failure to restore site w/in 9 months of completion of drilling or plugging,Environmental Health & Safety,"Drilling was completed on 02/03/09.  Well appeared to be equipped for production.  Observed no accelerated erosion & sedimentation with respect to the access road or well-site.  Noted that the site had been regraded, however it had not been seeded or mulc",,4/23/2010
005-30110,40.98281973,-79.68728095,ARMSTRONG GAS CO LLC,Armstrong,Bradys Bend,N,1832374,572718,262433,10/1/2009,10/1/2009,105NOPERMIT,Encroachment without Permit or Waiver,Environmental Health & Safety,"The pipeline running to Wick #1 crosses a section of Long Run.  After a file review, it was discovered that a GP was not obtained for the stream crossing.  An after-the-fact permit will need to be obtained for this encroachment.",Did not obtain the necessary GP to cross Long Run,10/27/2009
005-30110,40.98281973,-79.68728095,ARMSTRONG GAS CO LLC,Armstrong,Bradys Bend,N,1832374,572718,250854,10/1/2009,10/1/2009,105NOPERMIT,Encroachment without Permit or Waiver,Environmental Health & Safety,"The pipeline running to Wick #1 crosses a section of Long Run.  After a file review, it was discovered that a GP was not obtained for the stream crossing.  An after-the-fact permit will need to be obtained for this encroachment.",Did not obtain the necessary GP to cross Long Run,10/27/2009
005-30133,40.70748564,-79.31954769,BLX INC,Armstrong,Plumcreek,N,1768152,555916,258924,2/5/2009,2/5/2009,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,,,3/3/2009
005-30133,40.70748564,-79.31954769,BLX INC,Armstrong,Plumcreek,N,1768152,555916,242667,2/5/2009,2/5/2009,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,,,3/3/2009
005-30133,40.70748564,-79.31954769,BLX INC,Armstrong,Plumcreek,N,1768152,555915,258924,2/5/2009,2/5/2009,401CSL,Discharge of pollultional material to waters of Commonwealth.,Environmental Health & Safety,,,3/3/2009
005-30133,40.70748564,-79.31954769,BLX INC,Armstrong,Plumcreek,N,1768152,555915,242667,2/5/2009,2/5/2009,401CSL,Discharge of pollultional material to waters of Commonwealth.,Environmental Health & Safety,,,3/3/2009
005-30133,40.70748564,-79.31954769,BLX INC,Armstrong,Plumcreek,N,1768152,555914,258924,2/5/2009,2/5/2009,205B,Drilling w/in 100 ft of surface water or wetland w/o variance,Administrative,,,3/3/2009
005-30133,40.70748564,-79.31954769,BLX INC,Armstrong,Plumcreek,N,1768152,555914,242667,2/5/2009,2/5/2009,205B,Drilling w/in 100 ft of surface water or wetland w/o variance,Administrative,,,3/3/2009
005-30140,40.92863964,-79.64908545,DANNIC ENERGY CORP,Armstrong,Sugarcreek,N,1847590,577119,262023,11/16/2009,11/16/2009,201E,Failure to comply with terms and conditions of permit,Environmental Health & Safety,"Well is drilled, but not equipped for production.  The pit is still on-site and appears to be in sound condition.   There are no E&S concerns at this time.  However, the following deficiency was noted:

1-  There is a special permit condition stating that",,12/31/2009
005-30140,40.92863964,-79.64908545,DANNIC ENERGY CORP,Armstrong,Sugarcreek,N,1847590,577119,253140,11/16/2009,11/16/2009,201E,Failure to comply with terms and conditions of permit,Environmental Health & Safety,"Well is drilled, but not equipped for production.  The pit is still on-site and appears to be in sound condition.   There are no E&S concerns at this time.  However, the following deficiency was noted:

1-  There is a special permit condition stating that",,12/31/2009
